date,count
2013-09-21,4383
2013-10-31,5742
2013-11-21,6561
2013-12-01,7092
2014-01-06,8501
2014-02-08,10436
2014-03-11,12246
2014-04-17,16688
2014-05-13,16688
2014-06-19,20681
2014-07-17,22676
2014-08-19,25266
2014-09-11,27344
2014-10-23,31391
2014-11-01,31391
2014-12-13,37861
2015-02-13,44365
2015-03-04,46912
2015-07-03,70481
2015-08-12,76772
2015-09-01,78101
2015-10-12,83031
2015-12-05,99652
2016-01-02,105387
2016-02-10,110245
2016-03-02,119099
2016-04-09,128945
2016-05-03,136247
2016-06-11,141276
2016-07-03,146157
2016-08-12,157901
2016-09-11,167470
2016-10-21,185495
2016-11-02,185495
2017-01-01,204152
2017-02-07,214727
2017-03-08,220146
2017-04-01,224567
2017-05-21,232834
2017-06-10,232834
2017-07-01,239735
2017-09-15,252815
2017-10-27,259942
2017-11-24,264006
2017-12-07,265905
2018-01-02,268860
2015-04-30,56340
2015-05-03,56340
2015-11-01,94645
2018-02-16,275405
