date,count
2008-12-16,271
2009-08-03,2553
2009-09-22,3321
2009-10-26,3655
2009-11-10,3839
2010-04-06,6048
2010-06-06,7031
2010-07-09,7539
2010-08-08,7984
2010-09-06,8892
2010-10-07,9543
2011-01-08,11151
2011-03-30,13395
2011-09-18,18259
2012-02-07,21976
2012-10-29,27311
2013-01-14,28952
2013-03-09,30341
2013-09-21,35828
2013-10-09,36336
2013-12-16,38687
2014-01-03,39080
2014-02-11,40616
2014-04-23,43843
2014-06-05,47651
2014-08-21,52311
2015-01-27,62466
2015-02-19,62466
2015-10-31,76978
2015-11-22,80113
2015-12-04,80113
2016-01-31,80113
2016-02-08,80113
2016-03-11,106049
2016-05-10,106049
2016-10-26,125063
2016-11-03,126248
2017-02-03,136778
2017-03-09,142689
2017-08-25,163897
2017-09-16,166761
2017-10-02,168735
2008-11-08,148
