date,count,URL-M
2016-08-03,22894,http://web.archive.org/web/20160803180959/https://twitter.com/TEN_GOP
2016-09-29,35620,http://web.archive.org/web/20160929175843/https://twitter.com/TEN_GOP
2016-10-19,43948,http://web.archive.org/web/20161019163603/https://twitter.com/TEN_GOP/
2016-11-17,53861,http://web.archive.org/web/20161117122606/https://twitter.com/TEN_GOP
2016-12-02,56274,http://web.archive.org/web/20161202053131/https://twitter.com/TEN_GOP
2017-01-05,64513,http://web.archive.org/web/20170105171146/https://twitter.com/TEN_GOP
2017-02-12,80800,http://web.archive.org/web/20170212060702/https://twitter.com/TEN_GOP
2017-03-04,90770,http://web.archive.org/web/20170304025211/https://twitter.com/TEN_GOP
2017-04-03,102463,http://web.archive.org/web/20170403101048/https://twitter.com/TEN_GOP
2017-05-01,108907,http://web.archive.org/web/20170501173632/https://twitter.com/TEN_GOP
2017-06-23,125103,http://web.archive.org/web/20170623005752/https://twitter.com/ten_gop
2017-07-18,136379,http://web.archive.org/web/20170718052650/https://twitter.com/TEN_GOP
2017-08-14,142253,http://web.archive.org/web/20170814211128/https://twitter.com/TEN_GOP
