date,count
2008-09-15,116
2008-11-10,334
2008-12-16,591
2009-01-01,812
2009-02-24,2237
2009-04-12,146557
2009-06-03,427432
2009-07-01,629908
2009-08-01,818053
2009-09-17,1146967
2009-10-27,1340589
2009-11-01,1357206
2009-12-24,1532676
2010-01-31,1720883
2010-03-15,1999894
2010-04-06,2128217
2010-05-07,2307841
2010-06-06,2541283
2010-07-06,2816645
2010-08-03,3122739
2010-09-07,3742815
2010-10-07,4190447
2010-11-06,4509598
2010-12-06,4801351
2011-01-01,5099306
2011-02-09,5639706
2011-03-06,6074209
2011-04-10,6629807
2011-05-07,7131868
2011-06-23,7974074
2011-07-06,8183590
2011-08-03,8817473
2011-09-02,9583774
2011-10-02,10366646
2011-11-16,12111134
2011-12-02,12581173
2012-01-08,13625961
2012-02-14,15052855
2012-04-03,17080379
2012-05-13,19550230
2012-07-08,22723103
2012-08-06,24535670
2012-09-07,26166986
2012-10-03,27326973
2012-11-01,28470760
2012-12-01,29783805
2013-01-08,31151753
2013-02-01,31707645
2013-03-04,33136277
2013-04-09,34736592
2013-05-07,36163700
2013-06-22,38160069
2013-07-07,38947150
2013-08-05,40335712
2013-09-01,41890941
2013-10-01,43886177
2013-11-07,46729600
2013-12-01,48051597
2014-01-11,49382950
2014-02-02,50107149
2014-03-01,50920548
2014-04-04,51991499
2014-05-01,52645358
2014-06-04,53452903
2014-07-01,54086650
2014-08-01,54914715
2014-09-01,56303821
2014-10-04,57831166
2014-11-08,59595945
2014-12-07,61055684
2015-01-06,62775606
2015-02-13,65074017
2015-03-09,66462398
2015-04-05,67998370
2015-05-13,69610702
2015-06-03,70539580
2015-07-02,71896776
2015-08-11,73901257
2015-09-05,75070807
2015-10-11,76334481
2015-11-02,77179411
2015-12-11,78810802
2016-01-02,80009161
2016-02-01,81899452
2016-03-02,83815727
2016-04-01,85550554
2016-05-04,88129445
2016-06-02,89121896
2016-07-05,90176328
2016-08-01,91223933
2016-09-01,92263401
2016-10-01,93190229
2016-11-06,93900264
2016-12-01,94426047
2017-01-01,95025083
2017-02-01,95591158
2017-03-01,96041194
2017-04-01,96748567
2017-05-01,97418084
2017-06-01,99231472
2017-07-01,100393855
2017-08-01,101593277
2017-09-01,103082995
