date,count
2009-07,4920
2009-08,5918
2009-09,7689
2010-04,9747
2010-06,14522
2010-07,16364
2010-08,20225
2010-09,23708
2010-10,26476
2010-11,29872
2010-12,33927
2011-01,38378
2011-02,43692
2011-03,48061
2011-04,53059
2011-05,56593
2011-06,60218
2011-07,63035
2011-08,67068
2011-09,71637
2011-12,88819
2012-05,137824
2012-10,242570
2013-02,340277
2013-07,414242
2013-09,444823
2013-10,452677
2013-11,507112
2013-12,567733
2014-01,601499
2014-02,622261
2014-03,635799
2014-04,654284
2014-06,681725
2014-07,714869
2014-09,765671
2014-10,799072
2014-12,850508
2015-01,870559
2015-02,908341
2015-03,914695
2015-04,945302
2015-05,962073
2015-06,975317
2015-07,1003677
2015-08,1029339
2015-09,1128268
2015-10,1205764
2015-11,1233045
2015-12,1296437
2016-01,1366592
2016-02,1457590
2016-03,1536305
2016-04,1633133
2016-05,1676376
2016-06,1746574
2016-07,1827164
2016-08,1911246
2016-09,1970217
2016-10,2008191
2016-11,2093723
2016-12,2144695
2017-01,2163644
2017-02,2200241
2017-03,2230650
2017-04,2253338
2017-05,2264508
2017-06,2310340
2017-07,2369708
2017-08,2381454
