date,count,URL-M
2008-11-08,148,http://web.archive.org/web/20081108213038/http://twitter.com:80/phdcomics
2008-12-16,271,http://web.archive.org/web/20081216151653/http://twitter.com/phdcomics
2009-08-03,2553,http://web.archive.org/web/20090803101712/https://twitter.com/phdcomics
2009-09-22,3321,http://web.archive.org/web/20090922201357/http://twitter.com/phdcomics
2009-10-26,3655,http://web.archive.org/web/20091026094808/http://twitter.com/phdcomics
2009-11-10,3839,http://web.archive.org/web/20091110092748/https://twitter.com/phdcomics
2010-04-06,6048,http://web.archive.org/web/20100406232554/https://twitter.com/phdcomics
2010-06-06,7031,http://web.archive.org/web/20100606132208/http://twitter.com/phdcomics
2010-07-09,7539,http://web.archive.org/web/20100709050916/http://twitter.com/phdcomics
2010-08-08,7984,http://web.archive.org/web/20100808082650/http://twitter.com/phdcomics
2010-09-06,8892,http://web.archive.org/web/20100906235107/http://twitter.com/phdcomics
2010-10-07,9543,http://web.archive.org/web/20101007232042/http://twitter.com/phdcomics
2011-01-08,11151,http://web.archive.org/web/20110108151548/http://twitter.com/phdcomics
2011-03-30,13395,http://web.archive.org/web/20110330083247/https://twitter.com/phdcomics
2011-09-18,18259,http://web.archive.org/web/20110918104815/http://twitter.com:80/phdcomics
2012-02-07,21976,http://web.archive.org/web/20120207025210/http://twitter.com/phdcomics
2012-10-29,27311,http://web.archive.org/web/20121029015351/http://twitter.com:80/phdcomics
2013-01-14,28952,http://web.archive.org/web/20130114050744/http://twitter.com/phdcomics
2013-03-09,30341,http://web.archive.org/web/20130309104620/https://twitter.com/phdcomics
2013-09-21,35828,http://web.archive.org/web/20130921213048/https://twitter.com/phdcomics
2013-10-09,36336,http://web.archive.org/web/20131009221832/https://twitter.com/phdcomics
2013-12-16,38687,http://web.archive.org/web/20131216110706/https://twitter.com/phdcomics
2014-01-03,39080,http://web.archive.org/web/20140103065838/https://twitter.com/phdcomics
2014-02-11,40616,http://web.archive.org/web/20140211043453/https://twitter.com/phdcomics
2014-04-23,43843,http://web.archive.org/web/20140423184528/https://twitter.com/phdcomics
2014-06-05,47651,http://web.archive.org/web/20140605073525/https://twitter.com/phdcomics
2014-08-21,52311,http://web.archive.org/web/20140821013808/https://twitter.com/phdcomics
2015-01-27,62466,http://web.archive.org/web/20150127044851/https://twitter.com/phdcomics
2015-10-31,76978,http://web.archive.org/web/20151031123926/https://twitter.com/PHDcomics
2015-11-22,80113,http://web.archive.org/web/20151122115145/https://twitter.com/phdcomics
2016-05-10,106049,http://web.archive.org/web/20160510155207/https://twitter.com/PHDcomics
2016-10-26,125063,http://web.archive.org/web/20161026010305/https://twitter.com/PHDcomics
2016-11-03,126248,http://web.archive.org/web/20161103141705/https://twitter.com/PHDcomics/
2017-02-03,136778,http://web.archive.org/web/20170203224550/https://twitter.com/PHDcomics
2017-03-09,142689,http://web.archive.org/web/20170309180844/https://twitter.com/phdcomics
2017-08-25,163897,http://web.archive.org/web/20170825000415/https://twitter.com/phdcomics
2017-09-16,166761,http://web.archive.org/web/20170916190816/https://twitter.com/PHDcomics
2017-10-02,168735,http://web.archive.org/web/20171002022028/https://twitter.com/PHDcomics
2018-02-26,185380,http://web.archive.org/web/20180226151553/https://twitter.com/PHDcomics
2008-12-20,284,http://web.archive.org/web/20081220053441/https://twitter.com/phdcomics
2009-09-24,3330,http://web.archive.org/web/20090924054445/https://twitter.com/phdcomics
2009-11-17,3941,http://web.archive.org/web/20091117184024/https://twitter.com/phdcomics
2010-08-10,8033,http://web.archive.org/web/20100810175022/https://twitter.com/phdcomics
2010-10-09,9607,http://web.archive.org/web/20101009060933/https://twitter.com/phdcomics
2012-02-08,22017,http://web.archive.org/web/20120208020755/http://twitter.com/phdcomics
2013-01-17,29062,http://web.archive.org/web/20130117195628/https://twitter.com/phdcomics
2013-03-11,30377,http://web.archive.org/web/20130311180721/https://twitter.com/phdcomics
2013-09-29,36003,http://web.archive.org/web/20130929072649/https://twitter.com/phdcomics
2013-10-31,36926,http://web.archive.org/web/20131031004301/https://twitter.com/phdcomics
2014-01-17,39798,http://web.archive.org/web/20140117030238/https://twitter.com/phdcomics
2014-06-25,49006,http://web.archive.org/web/20140625145302/https://twitter.com/phdcomics
2016-11-26,128702,http://web.archive.org/web/20161126041606/https://twitter.com/phdcomics
2017-02-04,136830,http://web.archive.org/web/20170204075852/https://twitter.com/phdcomics
2017-03-27,145304,http://web.archive.org/web/20170327091828/https://twitter.com/PHDcomics
2017-10-05,169235,http://web.archive.org/web/20171005141941/https://twitter.com/PHDcomics
