date,count,URL-M
2009-09-15,2291,http://web.archive.org/web/20090915221018/http://twitter.com:80/Trevornoah
2010-08-14,27055,http://web.archive.org/web/20100814192107/http://twitter.com:80/Trevornoah
2011-01-10,60891,http://web.archive.org/web/20110110191213/https://twitter.com/Trevornoah
2011-03-06,72829,http://web.archive.org/web/20110306100639/https://twitter.com/Trevornoah
2011-12-14,225500,http://web.archive.org/web/20111214054047/http://twitter.com/Trevornoah
2012-01-12,255799,http://web.archive.org/web/20120112072857/http://twitter.com:80/Trevornoah
2013-06-02,855481,http://web.archive.org/web/20130602131510/https://twitter.com/Trevornoah
2013-08-07,939401,http://web.archive.org/web/20130807181928/https://twitter.com/Trevornoah
2013-12-12,1124139,http://web.archive.org/web/20131212033741/https://twitter.com/Trevornoah
2014-01-13,1159050,http://web.archive.org/web/20140113151034/https://twitter.com/trevornoah
2014-03-30,1243980,http://web.archive.org/web/20140330020001/https://twitter.com/Trevornoah
2014-04-12,1259160,http://web.archive.org/web/20140412014237/https://twitter.com/trevornoah
2014-09-27,1567010,http://web.archive.org/web/20140927040603/https://twitter.com/trevornoah
2014-11-01,1646037,http://web.archive.org/web/20141101011252/https://twitter.com/TrevorNoah
2014-12-11,1746663,http://web.archive.org/web/20141211000535/https://twitter.com/Trevornoah
2015-01-22,1844476,http://web.archive.org/web/20150122094032/https://twitter.com/Trevornoah
2015-02-06,1876762,http://web.archive.org/web/20150206232947/https://twitter.com/Trevornoah
2015-03-23,1974952,http://web.archive.org/web/20150323115558/https://twitter.com/Trevornoah
2015-04-01,2136312,http://web.archive.org/web/20150401202243/https://twitter.com/Trevornoah
2015-05-01,2234279,http://web.archive.org/web/20150501101146/https://twitter.com/Trevornoah
2015-06-05,2324975,http://web.archive.org/web/20150605184934/https://twitter.com/Trevornoah
2015-07-25,2457973,http://web.archive.org/web/20150725081206/https://twitter.com/trevornoah
2015-08-14,2514243,http://web.archive.org/web/20150814044423/https://twitter.com/trevornoah
2015-09-15,2587685,http://web.archive.org/web/20150915220556/https://twitter.com//Trevornoah
2015-10-13,2687762,http://web.archive.org/web/20151013101726/https://twitter.com/Trevornoah
2015-11-06,2760755,http://web.archive.org/web/20151106040923/https://twitter.com/Trevornoah
2015-12-04,2839681,http://web.archive.org/web/20151204115257/https://twitter.com/Trevornoah
2016-01-09,2942403,http://web.archive.org/web/20160109022424/https://twitter.com/trevornoah
2016-02-05,3029322,http://web.archive.org/web/20160205202140/https://twitter.com/trevornoah
2016-03-01,3106534,http://web.archive.org/web/20160301023130/https://twitter.com/Trevornoah
2016-04-04,3214268,http://web.archive.org/web/20160404005729/https://twitter.com/Trevornoah
2016-05-02,3313646,http://web.archive.org/web/20160502185317/https://twitter.com/Trevornoah
2016-06-15,3659168,http://web.archive.org/web/20160615013321/https://twitter.com/Trevornoah
2016-07-10,3908724,http://web.archive.org/web/20160710165046/https://twitter.com/Trevornoah
2016-08-13,4267994,http://web.archive.org/web/20160813132126/https://twitter.com/Trevornoah
2016-09-02,4395049,http://web.archive.org/web/20160902060532/https://twitter.com/Trevornoah
2016-10-05,4803551,http://web.archive.org/web/20161005050039/https://twitter.com/Trevornoah
2016-11-08,5032574,http://web.archive.org/web/20161108102126/https://twitter.com/Trevornoah
2016-12-06,5294290,http://web.archive.org/web/20161206011202/https://twitter.com/Trevornoah
2017-01-05,5468369,http://web.archive.org/web/20170105231111/https://twitter.com/trevornoah
2017-02-02,5692310,http://web.archive.org/web/20170202174511/https://twitter.com/Trevornoah
2017-03-03,5984162,http://web.archive.org/web/20170303234801/https://twitter.com/trevornoah
2017-04-04,6319885,http://web.archive.org/web/20170404103742/https://twitter.com/Trevornoah
2017-05-07,6564574,http://web.archive.org/web/20170507152028/https://twitter.com/Trevornoah
2017-06-08,6880527,http://web.archive.org/web/20170608182320/https://twitter.com/trevornoah
2017-07-18,7088485,http://web.archive.org/web/20170718134521/https://twitter.com/Trevornoah
2017-08-18,7179594,http://web.archive.org/web/20170818035819/https://twitter.com/trevornoah
2017-09-01,7296401,http://web.archive.org/web/20170901212654/https://twitter.com/Trevornoah
2017-10-01,7577194,http://web.archive.org/web/20171001033754/https://twitter.com/Trevornoah
2017-11-12,8047672,http://web.archive.org/web/20171112113754/https://twitter.com/Trevornoah
2017-12-10,8260387,http://web.archive.org/web/20171210085817/https://twitter.com/Trevornoah
2018-01-05,8473640,http://web.archive.org/web/20180105012313/https://twitter.com/Trevornoah
2018-02-01,8537521,http://web.archive.org/web/20180201023347/https://twitter.com/Trevornoah
2018-03-01,8731649,http://web.archive.org/web/20180301125213/https://twitter.com/trevornoah
