date,count
20071011004754,0
20080116074833,0
20080213200427,0
20080302011530,0
20080402194711,0
20080507194538,0
20080605031933,0
date,count
20071011004754,83
20080116074833,111
20080213200427,419
20080302011530,1532
20080402194711,2557
20080507194538,3745
20080605031933,4218
20080727100851,4174
20080809213541,4165
20080904002427,4569
20081002005729,4987
20081106163915,5748
20081203215827,6357
20090101141856,7048
20130611193511,393703
20130706222548,593571
20130805092508,670704
20130904041443,742765
20131006080136,830580
20131107215637,907170
20131205045621,962205
20140102074407,1018739
20140211093203,1149993
20140301002130,1197736
20140401081951,1283328
20140501122206,1374257
20140601085237,1456143
20140701084444,1550966
20140801012550,1660004
20140903063253,1907643
20141003023619,2135620
20141114034945,2417604
20141202165653,2483712
20150102025405,2590217
20150211072531,2797466
20150311035505,2935421
20150408214312,3117637
20150507232744,3478184
20150602202507,3602627
20150702150345,3793976
20150805033357,3976132
20150903130437,4158722
20151001160523,4359140
20151101042010,4598363
20151201194142,4792567
20160101051514,5007504
20160201225000,5263658
20160301014923,5524431
20160401080924,5845160
20160501080041,6086676
20160601025903,6473728
20160701080104,7188640
20160801080128,8027862
20160901034940,8532429
20161001005905,9260124
20161101013452,10083353
20161201080152,11428925
20170101080027,11820369
20170201080055,12873097
20170301080033,13435567
20170401015855,13902936
20170501063639,14198914
20170601011350,15683848
20170701001056,16592834
20170801190727,17201275
