date,count
2009-01-10,51
2009-02-01,475
2009-05-16,233802
2009-07-16,529835
2009-08-01,642775
2009-09-18,1008521
2009-10-19,1299667
2009-11-03,1445673
2009-12-24,2003540
2010-01-01,2106050
2010-02-06,2628681
2010-03-07,3021011
2010-04-06,3464051
2010-05-07,3892935
2010-06-05,4364409
2010-07-06,4790128
2010-08-07,5339792
2010-09-06,6083190
2010-10-06,6648626
2010-11-02,6971865
2010-12-02,7242398
2011-01-01,7549895
2011-02-08,8044191
2011-03-02,8499764
2011-04-08,9264561
2011-05-23,10324036
2011-06-15,10934067
2011-07-06,11433166
2011-08-03,12209472
2011-09-01,13148425
2011-10-07,14236158
2011-11-03,15271769
2011-12-02,16538389
2012-01-11,17907443
2012-02-06,18894039
2012-03-01,19781198
2012-04-03,22107858
2012-05-12,24037900
2012-06-04,25219738
2012-07-23,27404186
2012-08-01,27792187
2012-09-01,28974763
2012-10-03,29994910
2012-11-01,30801472
2012-12-01,31710778
2013-01-01,32631607
2013-02-01,33665296
2013-03-08,34833136
2013-04-03,35739634
2013-05-15,37292136
2013-06-01,37862665
2013-07-02,38842817
2013-08-05,39518013
2013-09-01,40007178
2013-10-01,40220371
2013-11-08,40439566
2013-12-01,40766808
2014-01-01,41033593
2014-02-07,41026638
2014-03-07,41060063
2014-04-04,41181697
2014-05-06,41354789
2014-06-02,41470596
2014-07-01,41566853
2014-08-01,41697436
2014-09-03,42050217
2014-10-01,42373561
2014-11-06,42657288
2014-12-05,42980243
2015-01-08,43361815
2015-02-11,44175460
2015-03-02,44611360
2015-04-13,45664342
2015-05-11,46405535
2015-06-02,47165880
2015-07-02,48144187
2015-08-05,49353143
2015-09-02,50261270
2015-10-07,51419005
2015-11-02,52066944
2015-12-04,52828061
2016-01-05,54006275
2016-02-03,55104137
2016-03-01,56439187
2016-04-01,57778108
2016-05-05,58887348
2016-06-03,59852610
2016-07-05,61055918
2016-08-03,62091328
2016-09-01,62922146
2016-10-01,63847672
2016-11-01,64248815
2016-12-06,64581307
2017-01-01,64816351
2017-02-01,65068435
2017-03-01,65419686
2017-04-01,65766926
2017-05-02,66138243
2017-06-01,66845438
2017-07-05,67161822
2017-08-01,67831654
