date,count
2009-07-01,4920
2009-08-01,5918
2009-09-01,7689
2010-04-01,9747
2010-06-01,14522
2010-07-01,16364
2010-08-01,20225
2010-09-01,23708
2010-10-01,26476
2010-11-01,29872
2010-12-01,33927
2011-01-01,38378
2011-02-01,43692
2011-03-01,48061
2011-04-01,53059
2011-05-01,56593
2011-06-01,60218
2011-07-01,63035
2011-08-01,67068
2011-09-01,71637
2011-12-01,88819
2012-05-01,137824
2012-10-01,242570
2013-02-01,340277
2013-07-01,414242
2013-09-01,444823
2013-10-01,452677
2013-11-01,507112
2013-12-01,567733
2014-01-01,601499
2014-02-01,622261
2014-03-01,635799
2014-04-01,654284
2014-06-01,681725
2014-07-01,714869
2014-09-01,765671
2014-10-01,799072
2014-12-01,850508
2015-01-01,870559
2015-02-01,908341
2015-03-01,914695
2015-04-01,945302
2015-05-01,962073
2015-06-01,975317
2015-07-01,1003677
2015-08-01,1029339
2015-09-01,1128268
2015-10-01,1205764
2015-11-01,1233045
2015-12-01,1296437
2016-01-01,1366592
2016-02-01,1457590
2016-03-01,1536305
2016-04-01,1633133
2016-05-01,1676376
2016-06-01,1746574
2016-07-01,1827164
2016-08-01,1911246
2016-09-01,1970217
2016-10-01,2008191
2016-11-01,2093723
2016-12-01,2144695
2017-01-01,2163644
2017-02-01,2200241
2017-03-01,2230650
2017-04-01,2253338
2017-05-01,2264508
2017-06-01,2310340
2017-07-01,2369708
2017-08-01,2381454
