date,count
20090705111319,4920
20090801044140,5918
20090918232004,7689
20090920102607,7696
20090923143901,7724
20100406094930,9747
20100604210116,14522
20100606044625,14571
20100606133604,14598
20100607045404,14673
20100608181405,14857
20100610045100,15034
20100612050727,15258
20100614050622,15302
20100616045016,15384
20100617050428,15434
20100620045924,15518
20100621051248,15534
20100622045143,15629
20100623044701,15702
20100624143559,15774
20100627121226,16103
20100628045015,16162
20100629050517,16233
20100701044943,16364
20100702050234,16453
20100703050346,16498
20100704050045,16516
20100705050114,16539
20100705052015,16539
20100706053218,16573
20100706054059,16573
20100708044941,16735
20100709051150,16816
20100711080636,17294
20100713051148,17420
20100714050315,17794
20100715045347,18010
20100716044524,18177
20100717044540,18281
20100718045913,18338
20100719051140,18379
20100722090728,18637
20100723055343,18706
20100725125011,18881
20100808033720,20225
20100809162251,20374
20100825035110,22348
20100908033111,23708
20100910034254,23945
20100922033849,24999
20100929035746,25791
20101006041358,26476
20101009125134,26830
20101013032722,27038
20101020040236,27661
20101023042833,28408
20101027033217,28843
20101103035911,29872
20101110034315,31827
20101124035418,33108
20101201034639,33927
20101208035637,34587
20110112131536,38378
20110212133843,43692
20110313113343,48061
20110330172458,50712
20110412133631,53059
20110512130622,56593
20110612131133,60218
20110712133111,63035
20110812133039,67068
20110908111622,71637
20110920034254,73756
20111209122107,88819
20120508140327,137824
20120508142613,137824
20120514132401,139274
20120514132610,139269
20121017050310,242570
20121023020707,266343
20121023020709,266336
20130214201025,340277
20130725151902,414242
20130726032455,414242
20130910044740,444823
20130926083515,444823
20131002192953,452677
20131006022738,452677
20131007003211,453213
20131010050037,459453
20131010235055,460361
20131028180357,490628
20131106213052,507112
20131110150133,524360
20131121045724,546878
20131125211142,546878
20131213062828,567733
20131213115014,567733
20131214080517,569189
20131225094257,579591
20140122115652,601499
20140123130900,602897
20140123130902,602897
20140124103836,603803
20140212070257,622261
20140221120053,627642
20140228064425,631436
20140307131904,635799
20140319153121,649008
20140328161822,649008
20140407072313,654284
20140407072318,654284
20140408011607,654654
20140411164829,656435
20140423042614,661823
20140603140019,681725
20140606062945,684208
20140606071350,684208
20140625050757,698706
20140711092642,714869
20140716142052,714869
20140723170042,721478
20140912040725,765671
20140924185630,765671
20141020200740,799072
20141023191420,799072
20141213025633,850508
20141217213159,853636
20141217232925,853709
20141219212240,855524
20141222060350,857507
20141227123222,861285
20141227222952,861607
20150108034026,870559
20150122041720,884574
20150122041721,884574
20150126113501,888690
20150217113219,908341
20150217115640,908341
20150224044943,914695
20150224112550,914695
20150303131718,914695
20150319214319,930311
20150324025829,932916
20150407180537,945302
20150413085753,945302
20150417054135,947784
20150424100715,951598
20150426213747,952931
20150508014004,962073
20150508225340,962073
20150512040922,964102
20150512040928,964102
20150513104640,965389
20150515022034,966398
20150530203703,974267
20150531212629,974735
20150601223908,975317
20150605010828,979878
20150605020302,980008
20150606024234,981223
20150606091636,981474
20150606091637,981474
20150609042338,982926
20150612050429,984608
20150612055959,984621
20150618121701,988425
20150619031609,989041
20150620134007,989826
20150621141059,990259
20150626074049,992955
20150710145044,1003677
20150724040416,1018357
20150730161009,1024129
20150805155811,1029339
20150807154210,1049964
20150807171424,1051466
20150812120954,1080054
20150813073818,1081582
20150813234538,1083353
20150814024809,1083863
20150814103434,1084471
20150815081315,1086800
20150816130514,1089101
20150817154931,1091260
20150819052740,1094713
20150819142358,1095891
20150819213708,1095891
20150820052030,1096596
20150821012125,1097947
20150821060741,1098336
20150821162328,1098890
20150822063522,1100262
20150823010823,1101444
20150823094005,1101892
20150824121350,1103655
20150824141614,1103783
20150825072736,1105761
20150825072737,1105761
20150828072459,1118851
20150902144917,1128268
20150902144918,1128268
20150904044727,1131585
20150904165542,1132309
20150904165543,1132309
20150906064714,1135187
20150909093316,1139733
20151017082355,1205764
20151018125054,1207608
20151019175952,1209374
20151022075642,1209374
20151026113654,1219036
20151028163727,1223440
20151030212808,1230472
20151031035456,1231017
20151101124711,1233045
20151102014119,1233927
20151103074353,1235964
20151106065503,1241894
20151107115838,1243836
20151108134451,1245625
20151109075734,1246903
20151111230430,1252994
20151113003008,1255174
20151113231243,1257025
20151124012307,1284194
20151125005218,1286847
20151127040642,1290548
20151128085442,1292250
20151201021701,1296437
20151201202326,1298088
20151204031213,1304178
20151204071353,1304690
20151205091900,1307128
20151207163642,1312439
20151208132757,1314556
20151209013920,1316160
20151209100138,1317375
20151209183908,1318219
20151210091205,1320082
20151211072110,1322770
20151212120824,1325190
20151213065407,1326872
20151213172823,1327628
20151215050743,1330750
20151216112205,1334866
20151217123022,1337214
20151219012840,1340602
20151219114359,1341319
20151219114403,1341319
20151219231404,1342192
20151221083511,1345100
20151222095136,1347088
20151223125244,1349205
20151224142224,1351227
20151227024120,1355748
20151227203547,1357161
20160102163054,1366592
20160105061717,1372385
20160107174854,1379183
20160110215933,1387702
20160111183414,1389498
20160112201347,1392091
20160115210135,1401121
20160117085058,1404858
20160118105347,1407629
20160119162132,1410287
20160122105633,1417532
20160126014553,1426418
20160126193123,1428778
20160127082432,1433599
20160127185004,1436778
20160128012138,1439102
20160128122127,1441110
20160128205509,1443599
20160129072716,1449359
20160129153139,1450600
20160130101752,1453410
20160130152937,1453835
20160131021553,1454884
20160131103204,1455441
20160131134150,1455585
20160131234638,1456538
20160201145503,1457590
20160202130959,1460979
20160202172212,1461583
20160203182810,1464880
20160203232833,1465617
20160204230127,1468184
20160205003744,1468373
20160205011957,1468556
20160205011958,1468556
20160206064343,1472292
20160206064423,1472292
20160206083036,1472433
20160207035649,1474539
20160207073225,1474539
20160208060533,1477711
20160208123802,1478810
20160208163730,1478810
20160208194505,1479247
20160209035043,1480411
20160209084142,1480908
20160210023348,1483243
20160210041813,1483653
20160210174624,1485042
20160210193736,1485042
20160211224302,1488493
20160211235316,1488493
20160212062702,1488493
20160212214955,1490662
20160213013904,1491104
20160213032212,1491104
20160213072352,1491744
20160214024243,1494112
20160214043907,1494812
20160215025829,1497846
20160215074534,1498321
20160215084027,1498321
20160215232714,1500112
20160216031047,1500608
20160216082430,1501075
20160216082431,1501075
20160217022939,1502951
20160217123300,1504087
20160218031847,1505586
20160218095338,1506149
20160218131342,1506397
20160219172710,1509124
20160219204842,1509440
20160219235840,1509686
20160220175059,1511206
20160220212145,1511542
20160221221911,1514225
20160222012948,1514225
20160223011517,1517577
20160223052029,1518308
20160223081449,1518308
20160224013106,1520201
20160224061905,1521203
20160224103038,1521203
20160225063055,1523753
20160225084527,1523753
20160226073616,1527158
20160226222339,1528847
20160227092547,1529986
20160228120840,1532463
20160228133556,1532578
20160228161641,1532578
20160229131156,1534858
20160229220923,1535743
20160301022405,1536305
20160301061333,1536891
20160302011801,1538943
20160302024334,1538943
20160302134157,1540580
20160302201742,1541371
20160303022641,1542263
20160303022642,1542263
20160303150451,1543702
20160304045042,1550748
20160304045043,1550748
20160304055318,1551435
20160304083122,1552016
20160304121633,1552488
20160308111105,1563970
20160311160608,1573074
20160312230955,1577259
20160314011310,1579951
20160315055959,1582896
20160315142114,1583564
20160316135046,1588005
20160316183512,1588585
20160317013021,1589354
20160317013022,1589354
20160317132303,1590578
20160318032826,1592872
20160319201317,1601050
20160320030038,1602255
20160320195702,1604417
20160321154417,1607067
20160322040344,1608679
20160322080352,1609009
20160322080854,1609009
20160323055415,1611463
20160323161257,1612255
20160323185359,1612534
20160324154341,1614722
20160324190820,1616046
20160325162518,1620844
20160326002057,1622067
20160327170036,1625316
20160328194738,1627195
20160329121458,1628216
20160329170027,1628591
20160330063034,1629635
20160330154609,1630147
20160330204004,1630552
20160330212134,1630596
20160331124626,1631555
20160401142106,1633133
20160402094550,1634722
20160402132408,1634722
20160403112848,1635976
20160403232323,1636981
20160404123054,1637768
20160405004941,1638459
20160405113051,1638968
20160407081629,1640884
20160407121356,1641033
20160407124806,1641066
20160408001950,1641852
20160408165529,1642621
20160409112647,1643577
20160409135838,1643735
20160410020246,1643735
20160410162605,1645161
20160410181338,1645274
20160411121859,1646113
20160412015118,1646896
20160412082609,1647203
20160412162849,1647618
20160413001108,1648161
20160413144632,1648834
20160414004450,1649690
20160414182703,1651133
20160415013738,1651696
20160415013740,1651696
20160415152218,1652856
20160416230750,1654676
20160417143725,1655502
20160417161017,1655624
20160418123152,1656798
20160419204413,1658773
20160420185007,1660639
20160422153305,1663629
20160423024939,1664360
20160423134633,1664895
20160424135446,1666159
20160425171625,1667684
20160426171434,1669171
20160427172931,1670910
20160428112313,1672131
20160429110249,1673820
20160430092132,1675531
20160430193019,1676126
20160501001430,1676376
20160501221500,1677581
20160502200719,1678610
20160503133812,1679477
20160503223822,1679947
20160504212602,1681546
20160505030620,1681925
20160505041319,1681992
20160505205502,1682649
20160506180017,1683699
20160507181747,1684875
20160508195814,1686117
20160508215651,1686192
20160513055915,1691896
20160514091119,1693782
20160516234728,1698599
20160517204036,1701214
20160517204039,1701214
