date,count
20090705111319,4,920
20090801044140,5,918
20090918232004,7,689
20090920102607,7,696
20090920102607,7,696
20090923143901,7,724
20100406094930,9,747
20100406094930,9,747
20100604210116,14,522
20100606044625,14,571
20100606133604,14,598
20100607045404,14,673
20100608181405,14,857
20100610045100,15,034
20100612050727,15,258
20100614050622,15,302
20100616045016,15,384
20100617050428,15,434
20100620045924,15,518
20100621051248,15,534
20100622045143,15,629
20100623044701,15,702
20100624143559,15,774
20100627121226,16,103
20100628045015,16,162
20100629050517,16,233
20100701044943,16,364
20100702050234,16,453
20100703050346,16,498
20100704050045,16,516
20100705050114,16,539
20100705052015,16,539
20100706053218,16,573
20100706054059,16,573
20100708044941,16,735
20100709051150,16,816
20100711080636,17,294
20100713051148,17,420
20100714050315,17,794
20100715045347,18,010
20100716044524,18,177
20100717044540,18,281
20100718045913,18,338
20100719051140,18,379
20100722090728,18,637
20100723055343,18,706
20100725125011,18,881
20100808033720,20,225
20100809162251,20,374
20100825035110,22,348
20100908033111,23,708
20100910034254,23,945
20100922033849,24,999
20100929035746,25,791
20101006041358,26,476
20101009125134,26,830
20101013032722,27,038
20101020040236,27,661
20101023042833,28,408
20101027033217,28,843
20101103035911,29,872
20101110034315,31,827
20101124035418,33,108
20101201034639,33,927
20101208035637,34,587
20110112131536,38,378
20110212133843,43,692
20110313113343,48,061
20110330172458,50,712
20110412133631,53,059
20110512130622,56,593
20110612131133,60,218
20110712133111,63,035
20110812133039,67,068
20110908111622,71,637
20110920034254,73,756
20111209122107,88,819
20120508140327,137,824
20120508142613,137,824
20120514132401,139,274
20120514132610,139,269
20121017050310,242,570
20121023020707,266,343
20121023020709,266,336
20130214201025,340,277
20130725151902,414,242
20130726032455,414,242
20130910044740,444,823
20130926083515,444,823
20131002192953,452,677
20131006022738,452,677
20131007003211,453,213
20131010050037,459,453
20131010235055,460,361
20131028180357,490,628
20131106213052,507,112
20131110150133,524,360
20131121045724,546,878
20131125211142,546,878
20131213062828,567,733
20131213115014,567,733
20131214080517,569,189
20131225094257,579,591
20140122115652,601,499
20140123130900,602,897
20140123130902,602,897
20140124103836,603,803
20140212070257,622,261
20140221120053,627,642
20140228064425,631,436
20140307131904,635,799
20140319153121,649,008
20140328161822,649,008
20140407072313,654,284
20140407072318,654,284
20140408011607,654,654
20140411164829,656,435
20140423042614,661,823
20140603140019,681,725
20140606062945,684,208
20140606071350,684,208
20140625050757,698,706
20140711092642,714,869
20140716142052,714,869
20140723170042,721,478
20140912040725,765,671
20140924185630,765,671
20141020200740,799,072
20141023191420,799,072
20141213025633,850,508
20141217213159,853,636
20141217232925,853,709
20141219212240,855,524
20141222060350,857,507
20141227123222,861,285
20141227222952,861,607
20150108034026,870,559
20150122041720,884,574
20150122041721,884,574
20150126113501,888,690
20150217113219,908,341
20150217115640,908,341
20150224044943,914,695
20150224112550,914,695
20150303131718,914,695
20150319214319,930,311
20150324025829,932,916
20150407180537,945,302
20150413085753,945,302
20150417054135,947,784
20150424100715,951,598
20150426213747,952,931
20150508014004,962,073
20150508225340,962,073
20150512040922,964,102
20150512040928,964,102
20150513104640,965,389
20150515022034,966,398
20150530203703,974,267
20150531212629,974,735
20150601223908,975,317
20150605010828,979,878
20150605020302,980,008
20150606024234,981,223
20150606091636,981,474
20150606091637,981,474
20150609042338,982,926
20150612050429,984,608
20150612055959,984,621
20150618121701,988,425
20150619031609,989,041
20150620134007,989,826
20150621141059,990,259
20150626074049,992,955
20150710145044,1,003,677
20150724040416,1,018,357
20150730161009,1,024,129
20150805155811,1,029,339
20150807154210,1,049,964
20150807171424,1,051,466
20150812120954,1,080,054
20150813073818,1,081,582
20150813234538,1,083,353
20150814024809,1,083,863
20150814103434,1,084,471
20150815081315,1,086,800
20150816130514,1,089,101
20150817154931,1,091,260
20150819052740,1,094,713
20150819142358,1,095,891
20150819213708,1,095,891
20150820052030,1,096,596
20150821012125,1,097,947
20150821060741,1,098,336
20150821162328,1,098,890
20150822063522,1,100,262
20150823010823,1,101,444
20150823094005,1,101,892
20150824121350,1,103,655
20150824141614,1,103,783
20150825072736,1,105,761
20150825072737,1,105,761
20150828072459,1,118,851
20150902144917,1,128,268
20150902144918,1,128,268
20150904044727,1,131,585
20150904165542,1,132,309
20150904165543,1,132,309
20150906064714,1,135,187
20150909093316,1,139,733
20151017082355,1,205,764
20151018125054,1,207,608
20151019175952,1,209,374
20151022075642,1,209,374
20151026113654,1,219,036
20151028163727,1,223,440
20151030212808,1,230,472
20151031035456,1,231,017
20151101124711,1,233,045
20151102014119,1,233,927
20151103074353,1,235,964
20151106065503,1,241,894
20151107115838,1,243,836
20151108134451,1,245,625
20151109075734,1,246,903
20151111230430,1,252,994
20151113003008,1,255,174
20151113231243,1,257,025
20151124012307,1,284,194
20151125005218,1,286,847
20151127040642,1,290,548
20151128085442,1,292,250
20151201021701,1,296,437
20151201202326,1,298,088
20151204031213,1,304,178
20151204071353,1,304,690
20151205091900,1,307,128
20151207163642,1,312,439
20151208132757,1,314,556
20151209013920,1,316,160
20151209100138,1,317,375
20151209183908,1,318,219
20151210091205,1,320,082
20151211072110,1,322,770
20151212120824,1,325,190
20151213065407,1,326,872
20151213172823,1,327,628
20151215050743,1,330,750
20151216112205,1,334,866
20151217123022,1,337,214
20151219012840,1,340,602
20151219114359,1,341,319
20151219114403,1,341,319
20151219231404,1,342,192
20151221083511,1,345,100
20151222095136,1,347,088
20151223125244,1,349,205
20151224142224,1,351,227
20151227024120,1,355,748
20151227203547,1,357,161
20160102163054,1,366,592
20160105061717,1,372,385
20160107174854,1,379,183
20160110215933,1,387,702
20160111183414,1,389,498
20160112201347,1,392,091
20160115210135,1,401,121
20160117085058,1,404,858
20160118105347,1,407,629
20160119162132,1,410,287
20160122105633,1,417,532
20160126014553,1,426,418
20160126193123,1,428,778
20160127082432,1,433,599
20160127185004,1,436,778
20160128012138,1,439,102
20160128122127,1,441,110
20160128205509,1,443,599
20160129072716,1,449,359
20160129153139,1,450,600
20160130101752,1,453,410
20160130152937,1,453,835
20160131021553,1,454,884
20160131103204,1,455,441
20160131134150,1,455,585
20160131234638,1,456,538
20160201145503,1,457,590
20160202130959,1,460,979
20160202172212,1,461,583
20160203182810,1,464,880
20160203232833,1,465,617
20160204230127,1,468,184
20160205003744,1,468,373
20160205011957,1,468,556
20160205011958,1,468,556
20160206064343,1,472,292
20160206064423,1,472,292
20160206083036,1,472,433
20160207035649,1,474,539
20160207073225,1,474,539
20160208060533,1,477,711
20160208123802,1,478,810
20160208163730,1,478,810
20160208194505,1,479,247
20160209035043,1,480,411
20160209084142,1,480,908
20160210023348,1,483,243
20160210041813,1,483,653
20160210174624,1,485,042
20160210193736,1,485,042
20160211224302,1,488,493
20160211235316,1,488,493
20160212062702,1,488,493
20160212214955,1,490,662
20160213013904,1,491,104
20160213032212,1,491,104
20160213072352,1,491,744
20160214024243,1,494,112
20160214043907,1,494,812
20160215025829,1,497,846
20160215074534,1,498,321
20160215084027,1,498,321
20160215232714,1,500,112
20160216031047,1,500,608
20160216082430,1,501,075
20160216082431,1,501,075
20160217022939,1,502,951
20160217123300,1,504,087
20160218031847,1,505,586
20160218095338,1,506,149
20160218131342,1,506,397
20160219172710,1,509,124
20160219204842,1,509,440
20160219235840,1,509,686
20160220175059,1,511,206
20160220212145,1,511,542
20160221221911,1,514,225
20160222012948,1,514,225
20160223011517,1,517,577
20160223052029,1,518,308
20160223081449,1,518,308
20160224013106,1,520,201
20160224061905,1,521,203
20160224103038,1,521,203
20160225063055,1,523,753
20160225084527,1,523,753
20160226073616,1,527,158
20160226222339,1,528,847
20160227092547,1,529,986
20160228120840,1,532,463
20160228133556,1,532,578
20160228161641,1,532,578
20160229131156,1,534,858
20160229220923,1,535,743
20160301022405,1,536,305
20160301061333,1,536,891
20160302011801,1,538,943
20160302024334,1,538,943
20160302134157,1,540,580
20160302201742,1,541,371
20160303022641,1,542,263
20160303022642,1,542,263
20160303150451,1,543,702
20160304045042,1,550,748
20160304045043,1,550,748
20160304055318,1,551,435
20160304083122,1,552,016
20160304121633,1,552,488
20160308111105,1,563,970
20160311160608,1,573,074
20160312230955,1,577,259
20160314011310,1,579,951
20160315055959,1,582,896
20160315142114,1,583,564
20160316135046,1,588,005
20160316183512,1,588,585
20160317013021,1,589,354
20160317013022,1,589,354
20160317132303,1,590,578
20160318032826,1,592,872
20160319201317,1,601,050
20160320030038,1,602,255
20160320195702,1,604,417
20160321154417,1,607,067
20160322040344,1,608,679
20160322080352,1,609,009
20160322080854,1,609,009
20160323055415,1,611,463
20160323161257,1,612,255
20160323185359,1,612,534
20160324154341,1,614,722
20160324190820,1,616,046
20160325162518,1,620,844
20160326002057,1,622,067
20160327170036,1,625,316
20160328194738,1,627,195
20160329121458,1,628,216
20160329170027,1,628,591
20160330063034,1,629,635
20160330154609,1,630,147
20160330204004,1,630,552
20160330212134,1,630,596
