date,count
20080903042411,100
20081004051150,145
20120112211138,149315
20120201192726,526450
20120309121151,652299
20120508103800,850527
20120604123403,976020
20120707135336,1120499
20120803083822,1233193
20120904093108,1410941
20121009132139,1787623
20121101152931,2013780
20130113070208,2617329
20130203012811,2782576
20130303050142,3060452
20130409025644,3566073
20130503052356,3945659
20130609185916,3945659
20130727112133,4887508
20130809001709,5054071
20130904034202,5259872
20131018005844,5308671
20131205233758,5330445
20140118032240,5344633
20140201212643,5347335
20140301114433,5355301
20140401161407,5367358
20140501082655,5372916
20140601060803,5387390
20140701221033,5391219
20140805021423,5395097
20140903025456,5395755
20141018161657,5394398
20141206004558,5391440
20150103073010,5388216
20150217085346,5391746
20150308010419,5391021
20150414123709,5395862
20150512044736,5396921
20150605060656,5401319
20150717012025,5402537
20150805153834,5402242
20150902022850,5398576
20151014010938,5392492
20151101004302,5392400
20151204062859,5392181
20160109112730,5393328
20160202233526,5395178
20160303073434,5395709
20160402195021,5411330
20160501191358,5412838
20160602223747,5414219
20160710095527,5420017
20160801174213,5493542
20160902050714,5502352
20161001010113,5513043
20161101124046,5559411
20161201215548,5626987
20170103130101,5638656
20170201135829,7054259
20170301042611,7358097
20170401123231,7570019
20170501115245,7644412
20170601043512,7820345
20170701154533,8025839
