curl http://web.archive.org/web/timemap/link/http://twitter.com/michelleobama >> mobama.txt

<http://twitter.com:80/MichelleObama>; rel="original",
<http://web.archive.org/web/timemap/link/http://twitter.com/michelleobama>; rel="self"; type="application/link-format"; from="Mon, 01 Sep 2008 22:12:19 GMT">,
<http://web.archive.org>; rel="timegate",
<http://web.archive.org/web/20080901221219/http://twitter.com:80/MichelleObama>; rel="first memento"; datetime="Mon, 01 Sep 2008 22:12:19 GMT",
<http://web.archive.org/web/20080903042411/http://twitter.com:80/MichelleObama>; rel="memento"; datetime="Wed, 03 Sep 2008 04:24:11 GMT",
<http://web.archive.org/web/20080904060051/http://twitter.com:80/MichelleObama>; rel="memento"; datetime="Thu, 04 Sep 2008 06:00:51 GMT",
<http://web.archive.org/web/20080905172052/http://twitter.com:80/MichelleObama>; rel="memento"; datetime="Fri, 05 Sep 2008 17:20:52 GMT",
<http://web.archive.org/web/20080906231029/http://twitter.com:80/MichelleObama>; rel="memento"; datetime="Sat, 06 Sep 2008 23:10:29 GMT",
<http://web.archive.org/web/20080908135202/http://twitter.com:80/MichelleObama>; rel="memento"; datetime="Mon, 08 Sep 2008 13:52:02 GMT",
<http://web.archive.org/web/20081004051150/http://twitter.com:80/MichelleObama>; rel="memento"; datetime="Sat, 04 Oct 2008 05:11:50 GMT",
<http://web.archive.org/web/20120112211138/http://twitter.com/MichelleObama>; rel="memento"; datetime="Thu, 12 Jan 2012 21:11:38 GMT",
<http://web.archive.org/web/20120114130852/http://twitter.com/MichelleObama>; rel="memento"; datetime="Sat, 14 Jan 2012 13:08:52 GMT",
<http://web.archive.org/web/20120115091048/http://twitter.com:80/MichelleObama>; rel="memento"; datetime="Sun, 15 Jan 2012 09:10:48 GMT",
<http://web.archive.org/web/20120116013644/http://twitter.com:80/michelleobama>; rel="memento"; datetime="Mon, 16 Jan 2012 01:36:44 GMT",
<http://web.archive.org/web/20120116160517/http://twitter.com/MichelleObama>; rel="memento"; datetime="Mon, 16 Jan 2012 16:05:17 GMT",
<http://web.archive.org/web/20120117045245/http://twitter.com/MichelleObama>; rel="memento"; datetime="Tue, 17 Jan 2012 04:52:45 GMT",
<http://web.archive.org/web/20120117145919/http://twitter.com/MichelleObama>; rel="memento"; datetime="Tue, 17 Jan 2012 14:59:19 GMT",
<http://web.archive.org/web/20120118193002/http://twitter.com/MichelleObama>; rel="memento"; datetime="Wed, 18 Jan 2012 19:30:02 GMT",
<http://web.archive.org/web/20120120003605/http://twitter.com/MichelleObama>; rel="memento"; datetime="Fri, 20 Jan 2012 00:36:05 GMT",
<http://web.archive.org/web/20120120134908/http://twitter.com/michelleobama>; rel="memento"; datetime="Fri, 20 Jan 2012 13:49:08 GMT",
<http://web.archive.org/web/20120120161016/http://twitter.com/MichelleObama>; rel="memento"; datetime="Fri, 20 Jan 2012 16:10:16 GMT",
<http://web.archive.org/web/20120123070609/https://twitter.com/MichelleObama>; rel="memento"; datetime="Mon, 23 Jan 2012 07:06:09 GMT",
<http://web.archive.org/web/20120123070609/https://twitter.com/MichelleObama>; rel="memento"; datetime="Mon, 23 Jan 2012 07:06:09 GMT",
