date,count
2008-09-01,207
2008-10-01,286
2008-11-01,465
2008-12-01,592
2009-01-01,917
2009-02-01,90
2009-04-01,9711
2009-05-01,856489
2009-06-01,1326843
2009-07-01,1892277
2009-08-01,1964976
2009-09-01,2212809
2009-10-01,2285990
2009-11-01,2523826
2010-01-01,2928993
2010-02-01,3098337
2010-03-01,3313607
2010-04-01,3358191
2010-05-01,3495218
2010-06-01,3641974
2010-07-01,3760630
2010-08-01,3905040
2010-09-01,4176698
2010-10-01,4367019
2010-11-01,4494208
2010-12-01,4630364
2011-01-01,4808958
2011-02-01,5047336
2011-03-01,5210603
2011-04-01,5516540
2011-05-01,5874552
2011-06-01,6273022
2011-07-01,6515360
2011-08-01,6884414
2011-09-01,7287182
2011-10-01,7643973
2011-11-01,8017554
2011-12-01,8521707
2012-01-01,8855559
2012-02-01,9037516
2012-03-01,9740005
2012-04-01,10390228
2012-05-01,11432712
2012-06-01,12105153
2012-07-01,12556770
2012-08-01,13093384
2012-09-01,13597392
2012-10-01,14190726
2012-11-01,14591396
2012-12-01,15087035
2013-01-01,15604791
2013-02-01,16399462
2013-03-01,17160984
2013-04-01,17743285
2013-05-01,18491475
2013-06-01,19136459
2013-07-01,19645550
2013-08-01,20122863
2013-09-01,20674115
2013-10-01,21318408
2013-11-01,21972290
2013-12-01,22337101
2014-01-01,22633135
2014-02-01,23003492
2014-03-01,23325568
2014-04-01,23681619
2014-05-01,23975885
2014-06-01,24293845
2014-07-01,24608767
2014-08-01,24934914
2014-09-01,25297346
2014-10-01,25435815
2014-12-01,26055632
2015-01-01,26342178
2015-02-01,26670003
2015-03-01,26890043
2015-04-01,27071677
2015-05-01,27315765
2015-06-01,27767445
2015-07-01,28211967
2015-08-01,28517662
2015-09-01,28770771
2015-10-01,29292814
2015-11-01,29510559
2015-12-01,29921157
2016-01-01,30942362
2016-02-01,30948890
2016-03-01,31691883
2016-04-01,32010642
2016-05-01,32331865
2016-06-01,32797741
2016-07-01,32948601
2016-08-01,33322359
2016-09-01,33695097
2016-10-01,34219297
2016-11-01,34631549
2016-12-01,35018130
2017-01-01,35309905
2017-02-01,35638206
2017-03-01,35821238
2017-04-01,36150070
2017-05-01,36661209
2017-06-01,37140000
2017-07-01,37440441
