date,count
2007-10-04,6656
2007-12-13,6652
2008-03-13,17314
2008-07-24,22232
2008-09-15,28878
2008-10-31,34143
2008-11-03,34477
2008-12-03,39106
2009-01-03,45650
2009-04-16,781668
2009-06-25,1567249
2009-07-01,1651587
2009-08-01,1958508
2009-09-04,2242627
2009-10-25,2561878
2009-11-01,2594388
2010-01-06,2840802
2010-03-19,3039185
2010-04-06,3077906
2010-05-06,3148619
2010-06-06,3248890
2010-07-01,3327813
2010-08-04,3436675
2010-09-06,3591952
2010-10-03,3782825
2010-11-02,3910326
2010-12-06,4014765
2011-01-06,4132630
2011-02-08,4289573
2011-03-01,4455081
2011-04-06,4774646
2011-05-10,5000886
2011-07-01,5448766
2011-08-03,5713028
2011-09-07,6008781
2011-10-05,6250919
2011-11-02,6586923
2011-12-01,6921288
2012-01-01,7197593
2012-02-01,7521491
2012-03-02,7899528
2012-04-01,9047008
2012-05-04,9916460
2012-06-02,10706332
2012-07-02,11531330
2012-08-01,12246858
2012-09-01,12930505
2012-10-11,13799435
2012-11-01,14156921
2012-12-01,14862593
2013-01-02,15479544
2013-02-02,16041915
2013-03-03,16637203
2013-04-01,17422627
2013-05-02,18410486
2013-06-01,19482837
2013-07-04,20739654
2013-08-02,21819066
2013-09-01,23090739
2013-10-01,24514836
2013-11-01,26194765
2013-12-01,27469285
2014-01-01,28042759
2014-02-01,28652597
2014-03-01,29127144
2014-04-01,29665633
2014-05-01,30091806
2014-06-01,30549824
2014-07-01,30959119
2014-08-01,31382175
2014-09-01,31904898
2014-10-09,32658642
2014-11-12,33284581
2014-12-03,33664432
2015-01-02,34249324
2015-02-04,35031099
2015-03-04,35609204
2015-04-01,36729018
2015-05-01,37902626
2015-06-01,39958991
2015-07-01,42214904
2015-08-07,44136626
2015-09-01,45188282
2015-10-01,46407655
2015-11-02,47930663
2015-12-01,48460080
2016-01-02,50242513
2016-02-01,51953118
2016-03-01,53051805
2016-04-02,54003055
2016-05-05,54597905
2016-06-02,55088168
2016-07-01,55493237
2016-08-01,56046421
2016-09-02,56499316
2016-10-01,56991002
2016-11-02,57321263
2016-12-01,57565579
2017-01-01,58011612
2017-02-01,59267809
2017-03-01,60174789
2017-04-01,60533156
2017-05-02,60728792
2017-06-01,60889568
2017-07-01,61115876
2017-08-01,61437015
